,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
7171,101130,120.0,NL,66.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
7502,101190,30.0,NL,58.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
8231,101284,120.0,NL,30.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
8498,101343,300.0,NL,95.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
8500,101344,75.0,NL,40.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
8524,101347,120.0,NL,62.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
8843,101382,9.0,NL,32.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
9176,101424,150.0,NL,47.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
9568,101484,150.0,NL,39.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
9674,101508,123.0,NL,50.0,Antwerp,M,0,1,0,0,1,1,0,0,1,1
9722,101513,120.0,NL,56.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
9894,101546,60.0,NL,49.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,1
10169,101602,90.0,NL,73.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
10176,101606,45.0,NL,78.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
10343,101632,120.0,NL,47.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
10709,101696,120.0,NL,90.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
11163,101761,30.0,NL,75.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
11172,101764,123.0,NL,74.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
11720,101822,120.0,NL,87.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
11915,101856,30.0,NL,70.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,0,0
12153,101884,9.0,NL,57.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
12578,101939,120.0,NL,27.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
12677,101966,135.0,NL,83.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
13595,102052,60.0,NL,32.0,Limburg,M,0,0,0,0,1,1,0,0,0,1
13879,102105,15.0,NL,30.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
14434,102155,15.0,NL,38.0,Limburg,F,1,0,0,0,1,1,0,0,0,0
14627,102183,7.5,NL,91.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
14824,102216,120.0,NL,64.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
14850,102221,120.0,NL,49.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
14867,102230,30.0,FR,55.0,Liege,M,0,0,0,0,1,0,1,0,0,0
14879,102242,15.0,FR,42.0,Liege,M,0,0,0,0,1,0,1,0,0,0
14905,102257,210.0,NL,47.0,Limburg,F,1,0,0,0,1,1,0,0,1,1
14952,102277,7.5,FR,61.0,Liege,M,0,0,0,0,1,0,1,0,0,0
14974,102289,60.0,FR,71.0,Liege,M,0,0,0,0,1,0,1,0,0,1
14994,102301,120.0,FR,56.0,Liege,M,0,0,0,0,1,0,1,0,1,1
14997,102302,15.0,FR,29.0,Namur,M,0,0,0,0,1,0,1,0,0,0
15131,102361,30.0,FR,77.0,Namur,F,1,0,0,0,1,0,1,0,0,0
15283,102466,120.0,FR,72.0,Luxembourg,F,1,0,0,0,1,0,1,0,1,1
15303,102483,60.0,FR,67.0,Hainaut,F,1,0,0,0,1,0,1,0,0,1
15335,102503,150.0,FR,53.0,Hainaut,F,1,0,0,0,1,0,1,0,1,1
16412,102639,123.0,NL,73.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
16575,102655,150.0,NL,25.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
16692,205354,21.0,NL,59.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
17340,102744,30.0,NL,69.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
17361,102746,120.0,NL,42.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
17596,102771,120.0,NL,73.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
18093,102829,75.0,NL,59.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
18485,102866,12.0,NL,29.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
18673,102886,30.0,NL,36.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
18915,102921,15.0,NL,49.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
19074,102943,120.0,NL,54.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
19183,102959,30.0,NL,70.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
20000,103047,150.0,NL,66.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
20110,103062,30.0,NL,58.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
20168,103069,75.0,NL,96.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
20401,103089,450.0,NL,41.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
20476,103096,75.0,NL,48.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
20769,103120,15.0,NL,81.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
21148,103157,6.0,NL,46.0,West Flanders,F,1,0,1,0,1,1,0,0,0,0
21254,103170,30.0,NL,95.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
21403,103186,120.0,NL,49.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
21866,103249,120.0,NL,43.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
21977,103259,123.0,NL,36.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
22191,103292,75.0,NL,30.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
22203,103295,123.0,NL,29.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
22239,103310,120.0,NL,46.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
22403,103329,120.0,NL,72.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
22461,103338,150.0,NL,53.0,East Flanders,M,0,0,0,1,1,1,0,0,1,1
